SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"182549066304300","USGS 166 OBSERVATION WELL, MANATI, PR","GW","USGS",-66.51144948,18.42808602,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=182549066304300"
"182637066475900","PALOMA 3 WELL, HATILLO, PR","GW","USGS",-66.79867590,18.44169643,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=182637066475900"
"182639066385200","SANTANA 1 WELL, ARECIBO, PR","GW","USGS",-66.64778550,18.44200170,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=182639066385200"
"251457080395802","G  -3777","GW","USGS",-80.66626110,25.25255556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=251457080395802"
"251922080340701","G  -1251","GW","USGS",-80.56575000,25.32108333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=251922080340701"
"252312080320301","G  -3620","GW","USGS",-80.54147220,25.38541667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=252312080320301"
"252332080300501","G  -3355","GW","USGS",-80.50091670,25.39330556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=252332080300501"
"252502080253901","G  -3356","GW","USGS",-80.42772220,25.41897220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=252502080253901"
"252612080300701","G  - 864","GW","USGS",-80.50166670,25.43688889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=252612080300701"
"252820080505401","MO  - 215","GW","USGS",-80.84833330,25.47222220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=252820080505401"
"252918080234201","G  -1183","GW","USGS",-80.39456940,25.48881944,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=252918080234201"
"253029080295601","S  - 196A","GW","USGS",-80.49856670,25.50838333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=253029080295601"
"253335080213501","G -3967","GW","USGS",-80.35972780,25.55983610,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=253335080213501"
"253413080225301","G  -3969","GW","USGS",-80.38146389,25.57039720,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=253413080225301"
"253417080224301","G  -3968","GW","USGS",-80.37864720,25.57136667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=253417080224301"
"253539080284101","G  - 757AR","GW","USGS",-80.47797780,25.59408610,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=253539080284101"
"253539080320501","G  -3628","GW","USGS",-80.53465000,25.59411944,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=253539080320501"
"253632080321101","G  -3627","GW","USGS",-80.50325000,25.60869444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=253632080321101"
"253640080264701","G  -1362A","GW","USGS",-80.44627780,25.61100000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=253640080264701"
"253644081013001","MO  - 214","GW","USGS",-81.02525000,25.61224444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=253644081013001"
"253708080304201","G  -3626","GW","USGS",-80.51127220,25.61859167,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=253708080304201"
"253937080304001","G  - 596","GW","USGS",-80.51197220,25.63800000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=253937080304001"
"253952080321501","G  -3272","GW","USGS",-80.53893330,25.66493333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=253952080321501"
"254000080181002","G  - 580A","GW","USGS",-80.30256389,25.66709444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=254000080181002"
"254000080460001","G  - 620","GW","USGS",-80.76644440,25.65611110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=254000080460001"
"254158080212204","G  -3918","GW","USGS",-80.35627780,25.69956944,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=254158080212204"
"254207080300201","G  -3577","GW","USGS",-80.50055560,25.70261110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=254207080300201"
"254217080264501","G -3473R","GW","USGS",-80.44588889,25.70486110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=254217080264501"
"254344081095101","MO - 216","GW","USGS",-81.16425000,25.72902778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=254344081095101"
"254823080175201","G  -3465","GW","USGS",-80.29752780,25.80663889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=254823080175201"
"254834080171601","G  -3466","GW","USGS",-80.28769440,25.80986110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=254834080171601"
"255437080103201","G  - 852","GW","USGS",-80.17516670,25.91072220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=255437080103201"
"260010080085001","F  - 291","GW","USGS",-80.14685280,26.00316110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=260010080085001"
"260111081243901","C  - 496","GW","USGS",-81.41063470,26.00676128,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=260111081243901"
"260405081414101","C  -1224","GW","USGS",-81.69453040,26.06842697,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=260405081414101"
"260458080134801","G  -1221","GW","USGS",-80.22936670,26.08561667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=260458080134801"
"260657080122301","S  - 329","GW","USGS",-80.20633330,26.11567778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=260657080122301"
"261342081352901","C - 948R","GW","USGS",-81.59146940,26.22823333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=261342081352901"
"261342081352902","C - 951R","GW","USGS",-81.59146940,26.22825556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=261342081352902"
"261501080060701","G  -2147","GW","USGS",-80.10125000,26.25044444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=261501080060701"
"261620081464402","C  -1004R","GW","USGS",-81.77869790,26.27314173,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=261620081464402"
"261735080534001","HE - 861","GW","USGS",-80.89284240,26.30285898,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=261735080534001"
"261735080534002","HE - 862","GW","USGS",-80.89284240,26.30285898,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=261735080534002"
"261903080065601","G  -1260","GW","USGS",-80.11533330,26.31780556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=261903080065601"
"261957081432201","L  -2194","GW","USGS",-81.72258470,26.33286155,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=261957081432201"
"261957081432202","L  -2195","GW","USGS",-81.72258470,26.33286155,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=261957081432202"
"262158081283403","C  - 982","GW","USGS",-81.47646760,26.36702530,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=262158081283403"
"262317080074601","PB -1491","GW","USGS",-80.12938889,26.38875000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=262317080074601"
"262630081484802","L  -5808","GW","USGS",-81.83461110,26.43794444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=262630081484802"
"262724081260701","C  - 462","GW","USGS",-81.43646610,26.45757730,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=262724081260701"
"263035081073501","HE - 855","GW","USGS",-81.12618089,26.52868473,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=263035081073501"
"263041081433102","L  -1998","GW","USGS",-81.72536070,26.51202187,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=263041081433102"
"263041081433103","L  -1999","GW","USGS",-81.72536070,26.51202187,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=263041081433103"
"263323081522401","L  - 742","GW","USGS",-81.87314219,26.55757597,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=263323081522401"
"263335081394301","L  - 729","GW","USGS",-81.66174809,26.56063040,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=263335081394301"
"263344081361703","L  -2186","GW","USGS",-81.60450000,26.56236110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=263344081361703"
"263353081335801","L  -1965","GW","USGS",-81.56591270,26.56479617,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=263353081335801"
"263440082022001","L  -2644","GW","USGS",-82.03731300,26.57896446,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=263440082022001"
"263532081592201","L  - 581","GW","USGS",-81.98905560,26.59255556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=263532081592201"
"263807081430301","L  -1968","GW","USGS",-81.71747220,26.63355556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=263807081430301"
"264053081572501","L  -4820","GW","USGS",-81.95675470,26.68284878,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=264053081572501"
"264123080053801","PB - 809","GW","USGS",-80.09452780,26.69002778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=264123080053801"
"264359081424701","L  -1975","GW","USGS",-81.71230400,26.73340110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=264359081424701"
"264755081460802","CH - 324","GW","USGS",-81.76888889,26.79861110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=264755081460802"
"265106080241402","PB - 831","GW","USGS",-80.41172220,26.85155556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=265106080241402"
"265633080203001","PB - 689","GW","USGS",-80.34533330,26.94311110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=265633080203001"
"265812080053901","PB - 565","GW","USGS",-80.09386110,26.97025000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=265812080053901"
"270124080280202","M  -1048","GW","USGS",-80.46713889,27.02350000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=270124080280202"
"270835080105801","M  -1004","GW","USGS",-80.18283330,27.14327778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=270835080105801"
"270913080284901","M  -1255","GW","USGS",-80.48116670,27.16219444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=270913080284901"
"271538082002301","AMAX NO 3 WELL NEAR PINE LEVEL FL","GW","USGS",-82.00522220,27.26113889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=271538082002301"
"271619082240201","FLA CITIES TEST 1 NR SARASOTA FL","GW","USGS",-82.40100000,27.27111110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=271619082240201"
"271832082064801","EDGEVILLE DEEP WELL 3 AT EDGEVILLE FL","GW","USGS",-82.11330560,27.30933333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=271832082064801"
"272012081482501","MARSHALL DEEP WELL NEAR GARDNER FL","GW","USGS",-81.80666670,27.33680556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=272012081482501"
"272020082194801","VERNA TEST WELL 0-4 NEAR VERNA FL","GW","USGS",-82.33011110,27.33900000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=272020082194801"
"272058082143701","VERNA TEST WELL 0-2 NEAR VERNA FL","GW","USGS",-82.24372220,27.35019444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=272058082143701"
"272127082323801","CITY SARASOTA 23RD AND COCONUT W NEAR SARASOTA FL","GW","USGS",-82.54427780,27.35750000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=272127082323801"
"272129082330202","CITY SARASOTA HICKORY AVE WELL AT SARASOTA FL","GW","USGS",-82.55069440,27.35883333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=272129082330202"
"272310098160200","JB-84-38-902 (Duval County CRN)","GW","USGS",-98.26750700,27.38642619,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=272310098160200"
"272356082181302","VERNA DEEP WELL 1A NEAR VERNA FL","GW","USGS",-82.30263889,27.39847220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=272356082181302"
"272404082161701","VERNA TEST WELL 0-1 NEAR VERNA FL","GW","USGS",-82.27108330,27.40147220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=272404082161701"
"272427080240201","STL- 213","GW","USGS",-80.40052780,27.40758333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=272427080240201"
"272504081120101","H-11A WELL NEAR LAKE PLACID, FL","GW","USGS",-81.20006860,27.41809420,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=272504081120101"
"272603080324901","STL- 286","GW","USGS",-80.54677780,27.43444444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=272603080324901"
"272655080401601","STL-  42","GW","USGS",-80.66920280,27.44847220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=272655080401601"
"272838082142202","KIBLER DEEP 26B REPLACEMENT WELL NEAR BETHANY, FL","GW","USGS",-82.23911110,27.47750000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=272838082142202"
"273156081451401","ROWELL DEEP WELL NEAR WAUCHULA FL","GW","USGS",-81.75466670,27.53233333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=273156081451401"
"274812081190301","P-49 WELL NEAR FROSTPROOF, FL","GW","USGS",-81.31729290,27.80363736,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=274812081190301"
"275815082440401","PINELLAS WELL 665 NEAR CLEARWATER FL","GW","USGS",-82.73444440,27.97138889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=275815082440401"
"275843082474201","GARDEN ST TRIANGLE WELL AT CLEARWATER FL","GW","USGS",-82.79619440,27.98019444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=275843082474201"
"275852081030501","TH-10 WILLIAMS ROAD WELL NEAR HOLOPAW, FL","GW","USGS",-81.05117520,27.98141017,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=275852081030501"
"281448082301801","BEXLEY WELL 2 NEAR DREXEL FL","GW","USGS",-82.50497220,28.24680556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=281448082301801"
"281558082264601","PASCO WELL 13 NEAR DREXEL FL","GW","USGS",-82.44597220,28.26663889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=281558082264601"
"281714081093001","LAKE JOEL WELL NEAR ASHTON, FL","GW","USGS",-81.15812148,28.28751079,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=281714081093001"
"282202081384601","LAKE OLIVER DEEP WELL NEAR VINELAND, FL","GW","USGS",-81.64590810,28.36750804,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=282202081384601"
"282202081384602","LAKE OLIVER SHALLOW WELL NEAR VINELAND, FL","GW","USGS",-81.64590810,28.36750804,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=282202081384602"
"282341081040101","COCOA A WELL NEAR BITHLO, FL","GW","USGS",-81.06672969,28.39500609,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=282341081040101"
"282528081340901","BAY LAKE DEEP WELL NEAR WINDERMERE, FL","GW","USGS",-81.56896240,28.42472840,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=282528081340901"
"282531081095701","COCOA D WELL NEAR NARCOOSSEE, FL","GW","USGS",-81.16534330,28.42583874,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=282531081095701"
"282532081075601","COCOA B WELL NEAR BITHLO, FL","GW","USGS",-81.13200909,28.42583856,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=282532081075601"
"282738081341401","LAKE SAWYER WELL NEAR WINDERMERE, FL","GW","USGS",-81.57035129,28.46083817,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=282738081341401"
"283154082313701","WEEKI WACHEE FLDN REPL WELL NEAR WEEKI WACHEE FL","GW","USGS",-82.52698889,28.53173610,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=283154082313701"
"283249081053201","BITHLO 1 WELL AT BITHLO, FL","GW","USGS",-81.09228500,28.54750046,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=283249081053201"
"283249081053203","BITHLO 3 WELL AT BITHLO, FL","GW","USGS",-81.09228500,28.54750046,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=283249081053203"
"284551082345301","HOMOSASSA WELL 3 NEAR HOMOSASSA FL","GW","USGS",-82.58155560,28.76402778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=284551082345301"
"290514082270701","RAINBOW SPRINGS WELL NEAR DUNNELLON, FL","GW","USGS",-82.45200000,29.08800000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=290514082270701"
"291100082010003","USGS WELL CE-76 NEAR OCALA, FL","GW","USGS",-82.01647659,29.18358840,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=291100082010003"
"291105081592601","SHARPES FERRY UFA WELL (M-0762) NEAR OCALA FL","GW","USGS",-81.99055560,29.18472220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=291105081592601"
"291442081384201","M-0828 SILVER GLEN SPRINGS WELL NR ASTOR, FL","GW","USGS",-81.64398610,29.24630278,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=291442081384201"
"292338095063601","KH-65-40-707 (Galveston)","GW","USGS",-95.11027780,29.39416667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=292338095063601"
"292458094534206","KH-64-33-920 (Texas City Extensometer)","GW-EX","USGS",-94.89500280,29.41632500,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=292458094534206"
"292618099165901","TD-69-38-601 (Seco Creek Well)","GW","USGS",-99.28337380,29.43856519,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=292618099165901"
"292628099401401","YP-69-35-602 (Frio Reference Well)","GW","USGS",-99.66477450,29.44606596,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=292628099401401"
"292943098354404","AY-68-36-132 (Z DED)","GW","USGS",-98.59555560,29.49527778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=292943098354404"
"293055098160501","AY-68-30-9xx (AFCEC RAFB Well 1)","GW-TH","USGS",-98.26823610,29.51539167,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=293055098160501"
"293210098154201","AY-68-30-9xx (AFCEC RAFB Well 2)","GW-TH","USGS",-98.26170560,29.53626389,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=293210098154201"
"293225098154201","AY-68-30-9xx (AFCEC RAFB Well 4)","GW-TH","USGS",-98.26180830,29.54043333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=293225098154201"
"293229098153701","AY-68-30-9xx (AFCEC RAFB Well 3)","GW-TH","USGS",-98.26051110,29.54143333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=293229098153701"
"293252098380801","AY-68-27-610 (Parkwood Park)","GW","USGS",-98.63555560,29.54777778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=293252098380801"
"293306095054101","LJ-65-32-401 (NASA Extensometer)","GW-EX","USGS",-95.09602780,29.55186110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=293306095054101"
"293348095070604","LJ-65-32-428 (Clear Lake Deep Extensometer)","GW-EX","USGS",-95.11894440,29.56341667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=293348095070604"
"293352095011601","LJ-65-32-625 (Seabrook Extensometer)","GW-EX","USGS",-95.02145560,29.56479444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=293352095011601"
"293405098394201","AY-68-27-609 (Western Oak)","GW","USGS",-98.66166670,29.56805556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=293405098394201"
"293516098325501","AY-68-28-211 (Shavano Park at Fawn Drive)","GW","USGS",-98.54861110,29.58777778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=293516098325501"
"293559098284801","AY-68-29-112 (Donella)","GW","USGS",-98.48000000,29.59972220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=293559098284801"
"294003099141101","AS-69-23-402 (Hondo Canyon)","GW","USGS",-99.23652780,29.66775000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=294003099141101"
"294206095162601","LJ-65-22-622 (East End Extensometer)","GW-EX","USGS",-95.27405560,29.70172220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=294206095162601"
"294237095093204","LJ-65-23-322 (Pasadena Extensometer)","GW-EX","USGS",-95.15927500,29.71015833,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=294237095093204"
"294327095445201","JY-65-29-106 (Fort Bend Extensometer)","GW-EX","USGS",-95.74777780,29.72416667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=294327095445201"
"294338095270402","LJ-65-21-226 (Southwest Extensometer)","GW-EX","USGS",-95.45077780,29.72700000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=294338095270402"
"294338095270403","LJ-65-21-230 (Southwest Piezometer No. 2)","GW","USGS",-95.45138890,29.72750000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=294338095270403"
"294527095014910","LJ-65-16-930 (Baytown C-1 Extensometer)","GW-EX","USGS",-95.03065000,29.75784167,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=294527095014910"
"294527095014911","LJ-65-16-931 (Baytown C-2 Extensometer)","GW-EX","USGS",-95.03065000,29.75784167,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=294527095014911"
"294726095351101","LJ-65-12-725 (Addicks Piezometer No. 2)","GW","USGS",-95.58666670,29.79083333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=294726095351101"
"294726095351102","LJ-65-12-726 (Addicks Extensometer)","GW-EX","USGS",-95.58613890,29.79069444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=294726095351102"
"294726095351104","LJ-65-12-729 (Addicks Piezometer No. 1)","GW","USGS",-95.58666670,29.79083333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=294726095351104"
"294728095200103","LJ-65-14-738 (Northeast Piezometer No. 4)","GW","USGS",-95.33388890,29.79138889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=294728095200103"
"294728095200106","LJ-65-14-746 (Northeast Extensometer)","GW-EX","USGS",-95.33397220,29.79088889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=294728095200106"
